scaffold,position,start,end,midpoint,sites,chi_rosFst,chi_melFGFst,chi_melPFst,chi_amFst,chi_agFst,chi_timPFst,ros_melFGFst,ros_melPFst,ros_amFst,ros_agFst,ros_timPFst,melFG_melPFst,melFG_amFst,melFG_agFst,melFG_timPFst,melP_amFst,melP_agFst,melP_timPFst,am_agFst,am_timPFst,ag_timPFst
HE667855,50000,0,100000,28183,7356,0.6126,0.6666,0.6015,0.5658,0.5716,0.5661,0.502,0.0205,0.4142,0.4178,0.6747,0.4985,0.3494,0.3052,0.703,0.3511,0.362,0.6717,-0.0054,0.5206,0.5428
HE667855,70000,20000,120000,37987,5254,0.522,0.5917,0.5041,0.4691,0.4803,0.5259,0.4761,0.0272,0.3873,0.3935,0.5824,0.4682,0.3466,0.2967,0.6338,0.3257,0.336,0.574,0.0017,0.3656,0.4139
HE667855,90000,40000,140000,47986,2750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667855,110000,60000,160000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667837,50000,0,100000,49589,13874,0.4972,0.515,0.5005,0.4274,0.4811,0.4955,0.4247,0.101,0.2607,0.2739,0.4417,0.3621,0.2826,0.2971,0.4506,0.19,0.1777,0.4198,-0.0137,0.2042,0.211
HE667837,70000,20000,120000,67394,12871,0.476,0.4975,0.4713,0.4279,0.4833,0.4458,0.3825,0.063,0.2205,0.2469,0.3689,0.3153,0.2822,0.2932,0.4103,0.1644,0.1747,0.3228,-0.0136,0.1573,0.1817
HE667837,90000,40000,140000,77392,10161,0.3889,0.4838,0.3946,0.3817,0.4271,0.4271,0.4066,0.0663,0.223,0.2384,0.351,0.3365,0.3184,0.3171,0.4425,0.1747,0.1706,0.2997,-0.0117,0.1533,0.166
HE667837,110000,60000,160000,87400,7872,0.2568,0.4735,0.2175,0.3432,0.335,0.3957,0.3815,0.0814,0.2326,0.2313,0.3901,0.2978,0.2815,0.2511,0.4669,0.1767,0.147,0.3274,-0.023,0.1759,0.1615
HE667837,130000,80000,180000,97393,5203,0.1945,0.4003,NA,0.3157,0.3057,0.3622,0.2508,NA,0.2008,0.1783,0.3198,NA,0.184,0.1542,0.3656,NA,NA,NA,-0.0265,0.1197,0.1021
HE667837,150000,100000,200000,109273,2143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667831,50000,0,100000,9379,3390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667831,70000,20000,120000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667817,50000,0,100000,50464,18398,0.1758,0.3636,0.1797,0.2651,0.2887,0.3256,0.3115,0.0436,0.222,0.2244,0.3696,0.2855,0.1721,0.177,0.4377,0.1838,0.1833,0.399,0.0145,0.3319,0.3347
HE667817,70000,20000,120000,69997,19283,0.2111,0.417,0.1964,0.3014,0.3278,0.3557,0.3319,0.0568,0.2281,0.2416,0.3743,0.309,0.2007,0.2009,0.4598,0.178,0.1844,0.3894,0.0075,0.3136,0.3232
HE667817,90000,40000,140000,90002,20553,0.237,0.4149,0.1942,0.308,0.3214,0.3579,0.3367,0.0582,0.2342,0.2298,0.3759,0.3034,0.2205,0.2129,0.4648,0.1724,0.162,0.3798,0.0082,0.3139,0.3199
HE667817,110000,60000,160000,110001,20870,0.2281,0.4286,0.1796,0.3161,0.3183,0.3561,0.3555,0.057,0.2502,0.2374,0.3673,0.3328,0.2296,0.2168,0.4721,0.1908,0.168,0.3607,0.0021,0.3171,0.313
HE667817,130000,80000,180000,130001,20791,0.2258,0.4465,0.1581,0.3451,0.33,0.3795,0.366,0.0621,0.285,0.2575,0.3778,0.3807,0.2533,0.2308,0.4776,0.2497,0.2244,0.3716,-7e-04,0.3287,0.3091
HE667817,150000,100000,200000,150000,21061,0.2106,0.4352,0.1298,0.3463,0.3264,0.3841,0.3518,0.0674,0.2736,0.2491,0.3653,0.3729,0.2188,0.1797,0.4431,0.248,0.2228,0.3688,-0.0106,0.3002,0.2778
HE667817,170000,120000,220000,169999,20046,0.2232,0.4235,0.1366,0.3436,0.3238,0.4035,0.3533,0.0632,0.2897,0.2645,0.404,0.3599,0.207,0.1679,0.4361,0.2486,0.2201,0.4043,-0.0168,0.3231,0.2961
HE667817,190000,140000,240000,189996,20163,0.2431,0.4499,0.1714,0.3406,0.3312,0.4056,0.3654,0.0827,0.2935,0.288,0.409,0.3754,0.2154,0.1801,0.4483,0.2566,0.2482,0.4152,-0.0259,0.3075,0.3061
HE667817,210000,160000,260000,210003,20109,0.2506,0.4278,0.1805,0.3081,0.3126,0.4064,0.33,0.0831,0.2682,0.2754,0.4245,0.344,0.2072,0.1836,0.45,0.2185,0.2329,0.4344,-0.0266,0.2862,0.3004
HE667817,230000,180000,280000,229998,20672,0.2188,0.3835,0.1528,0.2542,0.265,0.3596,0.3005,0.055,0.2147,0.2249,0.3677,0.2764,0.1582,0.1421,0.4128,0.1359,0.1434,0.3599,-0.0207,0.2241,0.2495
HE667817,250000,200000,300000,249996,20593,0.1841,0.372,0.1423,0.247,0.2562,0.3469,0.3004,0.0486,0.2217,0.2356,0.3619,0.2738,0.1627,0.1548,0.4237,0.1433,0.1481,0.3427,-0.0169,0.2377,0.2635
HE667817,270000,220000,320000,266509,20564,0.1609,0.3655,0.1237,0.2448,0.2477,0.3259,0.2937,0.0492,0.2036,0.215,0.3408,0.2921,0.1664,0.1532,0.4446,0.1533,0.1594,0.3411,-0.0082,0.2537,0.2747
HE667817,290000,240000,340000,276507,16162,0.1204,0.3469,0.0902,0.2429,0.2371,0.3229,0.2764,0.0303,0.1922,0.1919,0.3373,0.2914,0.1405,0.1333,0.4428,0.1556,0.1491,0.354,-0.004,0.2717,0.2721
HE667817,310000,260000,360000,286514,12186,0.111,0.3441,0.0854,0.249,0.2445,0.3202,0.2795,0.0226,0.1936,0.1895,0.3146,0.2931,0.1373,0.1243,0.4133,0.1702,0.1612,0.3341,0.0019,0.2464,0.2449
HE667817,330000,280000,380000,296542,7627,0.1399,0.3626,NA,0.2669,0.2673,0.3175,0.2874,NA,0.1985,0.208,0.3164,NA,0.1417,0.1393,0.414,NA,NA,NA,0.0021,0.2591,0.2417
HE667817,350000,300000,400000,306508,3287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667817,370000,320000,420000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667805,50000,0,100000,16768,5368,NA,NA,NA,0.4628,0.4515,0.3758,NA,NA,NA,0.2886,NA,NA,0.2159,0.1628,0.5142,NA,NA,NA,0.0119,0.4281,0.4543
HE667805,70000,20000,120000,26765,2295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667799,50000,0,100000,50079,18508,0.22,0.4249,0.2324,0.3577,0.3809,0.3558,0.339,0.0113,0.2764,0.306,0.3422,0.3621,0.2411,0.2563,0.3797,0.2681,0.2993,0.3505,0.0181,0.1772,0.2362
HE667799,70000,20000,120000,69997,18278,0.1949,0.4168,0.2029,0.3371,0.3692,0.3515,0.3569,9e-04,0.2709,0.302,0.3441,0.3758,0.2492,0.2562,0.4033,0.2626,0.3025,0.3646,0.0149,0.1628,0.2395
HE667799,90000,40000,140000,90003,17821,0.2868,0.4723,0.2809,0.3366,0.4212,0.3601,0.3673,0.0092,0.2527,0.2946,0.4247,0.3816,0.251,0.2574,0.5039,0.2287,0.2872,0.4485,0.0319,0.2353,0.3705
HE667799,110000,60000,160000,110001,17215,0.4308,0.5536,0.4246,0.3753,0.4915,0.372,0.353,0.0087,0.239,0.2588,0.5505,0.3645,0.2267,0.2105,0.6005,0.2,0.2446,0.5715,0.0508,0.3074,0.4796
HE667799,130000,80000,180000,129999,17242,0.4504,0.557,0.4454,0.3555,0.471,0.3621,0.3483,0.0202,0.2322,0.2302,0.5828,0.3561,0.2159,0.1893,0.6425,0.1826,0.205,0.6151,0.0431,0.3485,0.5136
HE667799,150000,100000,200000,148537,16756,0.4733,0.5586,0.4678,0.3528,0.4738,0.3884,0.3121,0.0146,0.222,0.2149,0.626,0.3171,0.1859,0.1696,0.6822,0.1703,0.1928,0.6608,0.0307,0.3864,0.5518
HE667799,170000,120000,220000,158537,12835,0.5387,0.5916,0.5227,0.3579,0.5047,0.4076,0.2753,0.0337,0.1978,0.1786,0.6906,0.2916,0.15,0.1201,0.7246,0.1502,0.171,0.7152,0.0394,0.4287,0.612
HE667799,190000,140000,240000,168538,9546,0.5267,0.5735,0.5258,0.3529,0.4695,0.3675,0.2552,-0.0021,0.2048,0.1776,0.6788,0.2806,0.1428,0.1234,0.6988,0.1763,0.1825,0.6979,0.0264,0.4045,0.5694
HE667799,210000,160000,260000,178543,6682,0.2857,0.4094,0.3185,0.2492,0.2646,0.3499,0.2956,NA,0.2259,0.188,0.5098,NA,0.1457,0.1493,0.5687,0.2347,0.1963,0.5717,-0.0155,0.2895,0.3665
HE667799,230000,180000,280000,188539,3133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667799,250000,200000,300000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667797,50000,0,100000,14031,6008,0.2073,0.402,0.1504,0.3076,0.2779,0.3023,0.308,0.0122,0.2058,0.1932,0.2776,NA,0.1051,0.1205,0.3158,0.1768,0.1563,0.2785,-0.0011,0.2137,0.1966
HE667797,70000,20000,120000,24034,1680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667795,50000,0,100000,40745,9690,0.6679,0.6164,0.6223,0.6441,0.6224,0.4033,0.4765,0.0553,0.7145,0.6929,0.8085,0.3956,0.6061,0.5717,0.7562,0.6877,0.6574,0.8078,0.05,0.7915,0.7691
HE667795,70000,20000,120000,50649,7502,0.6688,0.6178,0.6232,0.6524,0.6311,0.3865,0.436,0.0613,0.7303,0.7075,0.8099,0.3585,0.6199,0.5838,0.759,0.7074,0.686,0.8181,0.0432,0.8071,0.7832
HE667795,90000,40000,140000,60648,4841,0.6644,0.5931,NA,0.6232,0.5808,0.3909,0.4354,NA,0.7854,0.7573,0.7908,NA,0.6954,0.6574,0.7317,NA,NA,NA,0.0663,0.769,0.7263
HE667795,110000,60000,160000,70649,2912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667795,130000,80000,180000,80652,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667787,50000,0,100000,16930,5896,0.2826,0.3517,NA,0.3283,0.3198,0.2743,0.2933,NA,0.2368,0.2635,0.2894,NA,0.0659,0.0775,0.2585,NA,NA,NA,0.0094,0.1829,0.1849
HE667787,70000,20000,120000,26907,1705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667785,50000,0,100000,21600,5351,0.5577,0.4803,NA,0.6264,0.5777,0.4616,0.4551,NA,0.6053,0.5141,0.7443,NA,0.1743,0.1767,0.621,NA,NA,NA,0.0493,0.7593,0.7229
HE667785,70000,20000,120000,31561,3021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667785,90000,40000,140000,41561,402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667779,50000,0,100000,50003,15883,0.1425,0.3515,0.1599,0.2982,0.3207,0.3299,0.2716,-0.0116,0.2218,0.2446,0.2816,0.2909,0.1169,0.0961,0.2366,0.1937,0.2317,0.2745,0.0199,0.1355,0.1479
HE667779,70000,20000,120000,70001,17599,0.1342,0.3571,0.1512,0.2859,0.3131,0.2969,0.2761,-0.0072,0.2082,0.2375,0.2537,0.2928,0.1172,0.1043,0.2384,0.185,0.2275,0.2541,0.0155,0.1246,0.1463
HE667779,90000,40000,140000,89996,17302,0.1393,0.3665,0.1507,0.2875,0.3144,0.3179,0.2862,-0.01,0.2091,0.2368,0.2617,0.3052,0.1208,0.1079,0.2585,0.1926,0.2286,0.2635,0.0125,0.1347,0.1616
HE667779,110000,60000,160000,110010,16907,0.124,0.3669,0.1424,0.2736,0.29,0.2872,0.2815,-0.0068,0.1861,0.2002,0.2178,0.3012,0.1333,0.1137,0.2661,0.1641,0.1813,0.2141,0.009,0.1393,0.1559
HE667779,130000,80000,180000,128613,15141,0.1535,0.3685,0.163,0.2814,0.2927,0.2974,0.284,-0.009,0.1896,0.202,0.2491,0.2965,0.1328,0.1193,0.294,0.1621,0.183,0.2462,0.0104,0.1605,0.1821
HE667779,150000,100000,200000,138617,11819,0.1553,0.3669,0.1618,0.2797,0.2886,0.3102,0.2767,-0.0021,0.1821,0.1932,0.2489,0.2813,0.1253,0.1165,0.2792,0.149,0.1696,0.2417,0.0096,0.1458,0.156
HE667779,170000,120000,220000,148636,8671,0.1793,0.3695,0.1761,0.2925,0.2842,0.3427,0.2778,-0.0097,0.1869,0.1833,0.2777,0.2847,0.1307,0.121,0.2929,0.152,0.1548,0.2601,0.0079,0.1643,0.1592
HE667779,190000,140000,240000,158613,5801,0.1943,0.3706,NA,0.2962,0.2841,0.2978,NA,NA,0.1746,0.1703,0.2445,NA,0.134,0.1301,0.2772,0.1394,0.1439,0.2318,0.0105,0.1509,0.1438
HE667779,210000,160000,260000,168612,2175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667777,50000,0,100000,50083,17450,0.2048,0.3787,0.1896,0.3761,0.3575,0.3582,0.311,0.0483,0.2978,0.2773,0.292,0.2963,0.1436,0.1391,0.2193,0.2827,0.2664,0.2746,0.0087,0.15,0.116
HE667777,70000,20000,120000,70001,16971,0.214,0.3605,0.1875,0.36,0.3487,0.348,0.2912,0.0436,0.2813,0.2719,0.2914,0.2792,0.1522,0.1572,0.2386,0.2666,0.2594,0.2832,0.0067,0.1546,0.1365
HE667777,90000,40000,140000,81057,13469,0.1922,0.3655,0.197,0.3754,0.3582,0.3497,0.2768,0.0495,0.2448,0.2363,0.2636,0.2866,0.1543,0.1598,0.235,0.2429,0.2419,0.2641,0.0047,0.1567,0.1428
HE667777,110000,60000,160000,91052,10394,0.1591,0.3448,0.1668,0.3398,0.3267,0.3129,0.2653,0.0403,0.2283,0.2212,0.2355,0.3017,0.1565,0.1657,0.2205,0.2345,0.2356,0.2406,0.0087,0.1342,0.1204
HE667777,130000,80000,180000,101056,6816,0.1475,0.3426,NA,0.3372,0.3172,0.2886,0.2685,NA,0.2304,0.2238,0.2336,NA,0.1495,0.1665,0.2059,NA,NA,NA,0.0153,0.131,0.1146
HE667777,150000,100000,200000,111051,3296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667777,170000,120000,220000,121051,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667775,50000,0,100000,50240,17209,0.2177,0.4558,0.2249,0.396,0.3843,0.43,0.2975,0.0319,0.2592,0.2346,0.3298,0.3087,0.2208,0.183,0.3126,0.2203,0.1957,0.3008,7e-04,0.0994,0.0874
HE667775,70000,20000,120000,69993,17472,0.2206,0.453,0.2339,0.3887,0.3827,0.3916,0.3067,0.0348,0.2627,0.2367,0.3074,0.3146,0.2121,0.1761,0.287,0.215,0.1968,0.2707,0.0023,0.0953,0.0841
HE667775,90000,40000,140000,89999,17108,0.2045,0.4348,0.2057,0.3714,0.3599,0.3699,0.3129,0.0207,0.2761,0.2449,0.3166,0.305,0.1871,0.1515,0.2718,0.222,0.2055,0.2777,-0.0032,0.1005,0.0993
HE667775,110000,60000,160000,106428,16337,0.1952,0.432,0.2018,0.3621,0.3515,0.3659,0.3353,0.009,0.286,0.2584,0.336,0.3151,0.1825,0.1435,0.2698,0.2265,0.2096,0.2954,1e-04,0.0998,0.0969
HE667775,130000,80000,180000,121494,12691,0.2121,0.4383,0.2111,0.3649,0.3426,0.3565,0.346,0.0196,0.2905,0.249,0.337,0.3127,0.1777,0.1373,0.2729,0.2287,0.1957,0.2976,-0.0052,0.1081,0.1016
HE667775,150000,100000,200000,131494,9258,0.2201,0.4117,0.2062,0.352,0.3374,0.3308,0.3387,-0.0134,0.2894,0.2559,0.3258,0.3057,0.1201,0.0867,0.2202,0.2261,0.2062,0.2852,-0.0041,0.12,0.1095
HE667775,170000,120000,220000,141494,5443,0.181,0.4356,NA,0.3563,0.332,0.3506,0.3608,NA,0.3071,0.2697,0.3399,NA,0.1123,0.0789,0.2178,NA,NA,NA,-0.0056,0.1082,0.1044
HE667775,190000,140000,240000,151502,2311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667773,50000,0,100000,41739,14330,0.1279,0.3323,0.1363,0.2889,0.2869,0.2807,0.2604,0.0312,0.2161,0.2078,0.2293,0.2769,0.1162,0.0978,0.2037,0.2139,0.2086,0.2424,0.003,0.0956,0.0958
HE667773,70000,20000,120000,51594,10746,0.132,0.338,0.1339,0.2918,0.2961,0.287,0.2737,0.0442,0.2135,0.2176,0.2303,0.2895,0.117,0.1041,0.1991,0.211,0.2188,0.2423,0.0037,0.0846,0.0873
HE667773,90000,40000,140000,61604,6819,0.0963,0.3006,NA,0.2654,0.266,0.2813,NA,NA,0.2092,0.2102,0.234,NA,0.1222,0.1027,0.2131,NA,NA,NA,0.0012,0.087,0.0883
HE667773,110000,60000,160000,71593,3455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE667773,130000,80000,180000,81592,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE671118,50000,0,100000,8387,3222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE671118,70000,20000,120000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE671114,50000,0,100000,50722,21487,0.1229,0.3263,0.1306,0.2561,0.2521,0.2855,0.2551,0.009,0.169,0.1736,0.2072,0.2924,0.0947,0.092,0.1758,0.1864,0.1887,0.2388,0.0073,0.059,0.0617
HE671114,70000,20000,120000,69999,21082,0.1212,0.3136,0.1305,0.2523,0.2456,0.2746,0.2607,0.0231,0.1838,0.184,0.2161,0.2883,0.0974,0.0901,0.1796,0.1928,0.1884,0.2389,0.0125,0.0546,0.0616
HE671114,90000,40000,140000,89993,19012,0.1236,0.333,0.1193,0.2472,0.2465,0.2617,0.294,0.0256,0.1939,0.2,0.2295,0.3058,0.1046,0.0955,0.2322,0.1995,0.1901,0.247,0.0081,0.0954,0.1078
HE671114,110000,60000,160000,110000,18039,0.1316,0.3138,0.1059,0.2352,0.2408,0.2408,0.3013,0.0299,0.2038,0.2137,0.2448,0.2859,0.0987,0.1003,0.2541,0.1879,0.1828,0.2372,0.0078,0.1215,0.1351
HE671114,130000,80000,180000,130182,17897,0.1398,0.3167,0.1157,0.2544,0.2599,0.2452,0.2999,0.0349,0.2093,0.2213,0.2429,0.2707,0.115,0.1199,0.2778,0.1796,0.1789,0.2216,0.0057,0.1467,0.162
HE671114,150000,100000,200000,144860,15127,0.1275,0.3284,0.1048,0.2572,0.2607,0.263,0.3112,0.0378,0.2165,0.2217,0.2866,0.2741,0.1139,0.1213,0.3319,0.1691,0.1699,0.2671,-0.0022,0.1916,0.2148
HE671114,170000,120000,220000,154858,12182,0.1358,0.3453,0.1074,0.2659,0.2753,0.2779,0.3186,0.0262,0.2097,0.2203,0.297,0.2855,0.1148,0.1333,0.3599,0.1652,0.1807,0.2932,-0.0086,0.2238,0.2489
HE671114,190000,140000,240000,164857,9134,0.1253,0.3207,0.1118,0.2745,0.279,0.3048,0.2782,0.0252,0.2053,0.2039,0.3017,0.259,0.1134,0.1439,0.3387,0.1505,0.1738,0.3072,-5e-04,0.22,0.2432
HE671114,210000,160000,260000,174857,5311,NA,0.3488,NA,0.3108,0.3059,0.3565,NA,NA,0.2163,NA,NA,NA,0.1446,0.1557,0.3789,NA,NA,NA,-0.008,0.257,0.2969
HE671114,230000,180000,280000,184857,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE671110,50000,0,100000,50516,17983,0.2013,0.4133,0.222,0.3111,0.2983,0.3642,0.3138,-3e-04,0.1945,0.1818,0.411,0.3537,0.1521,0.1327,0.553,0.2061,0.1856,0.4964,-5e-04,0.4099,0.3905
HE671110,70000,20000,120000,70001,18443,0.2406,0.4369,0.2659,0.3185,0.3171,0.3646,0.3157,-6e-04,0.2039,0.1875,0.442,0.3507,0.185,0.1618,0.5577,0.2053,0.1925,0.5024,0.0046,0.3928,0.384
HE671110,90000,40000,140000,90077,18684,0.2665,0.4345,0.2752,0.329,0.3146,0.3826,0.304,-0.0072,0.2124,0.1794,0.4766,0.3278,0.192,0.1619,0.5773,0.1957,0.1669,0.523,0.0056,0.4222,0.4038
HE671110,110000,60000,160000,110008,18011,0.3022,0.454,0.3121,0.3525,0.3385,0.3673,0.2924,-0.0113,0.2056,0.1719,0.4731,0.3278,0.2093,0.1669,0.5742,0.2087,0.1685,0.5096,0.0089,0.4194,0.4014
HE671110,130000,80000,180000,129995,18811,0.3013,0.4507,0.2879,0.3469,0.3358,0.3529,0.2933,0.0064,0.2091,0.1794,0.4338,0.3147,0.1992,0.1593,0.5277,0.2018,0.1629,0.4404,0.0039,0.3804,0.3773
HE671110,150000,100000,200000,146928,18176,0.3097,0.4159,0.262,0.3331,0.3189,0.319,0.2552,0.0517,0.1921,0.1666,0.4233,0.2454,0.1408,0.1229,0.4908,0.1709,0.1421,0.4069,-0.0038,0.375,0.3758
HE671110,170000,120000,220000,156905,14804,0.2903,0.4031,0.2333,0.3353,0.313,0.3245,0.2491,0.0719,0.1884,0.1697,0.4134,0.2308,0.1022,0.0901,0.487,0.1737,0.1353,0.3908,-0.0062,0.3941,0.3904
HE671110,190000,140000,240000,166905,11181,0.2676,0.3817,0.1964,0.3274,0.2971,0.3037,0.2467,0.0835,0.194,0.17,0.3928,0.2168,0.0983,0.0778,0.4559,0.1777,0.1283,0.3572,-0.0058,0.3763,0.3696
HE671110,210000,160000,260000,176912,7665,0.2706,0.3764,0.1676,0.3195,0.281,0.3102,0.2573,0.1215,0.197,0.1707,0.3844,0.2241,0.0905,0.078,0.4266,0.1626,0.1178,0.3278,-0.0097,0.3497,0.3471
HE671110,230000,180000,280000,186903,3112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE671110,250000,200000,300000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE671108,50000,0,100000,49995,15554,0.3745,0.458,0.3398,0.5476,0.532,0.4069,0.331,0.0343,0.4074,0.3986,0.3478,0.3004,0.2279,0.1892,0.304,0.3777,0.3725,0.326,0.0203,0.2536,0.251
HE671108,70000,20000,120000,69998,16051,0.3287,0.4289,0.3162,0.4937,0.4901,0.4166,0.3258,0.0462,0.363,0.3704,0.3124,0.317,0.2113,0.1976,0.2854,0.3451,0.3625,0.3121,0.0083,0.1831,0.1954
HE671108,90000,40000,140000,89777,15335,0.3616,0.4936,0.3833,0.4636,0.4947,0.3844,0.3591,0.0287,0.3285,0.3641,0.2652,0.4089,0.2383,0.2582,0.3156,0.3594,0.4017,0.3107,0.0058,0.1696,0.2007
HE671108,110000,60000,160000,109994,14551,0.4259,0.5344,0.4277,0.4681,0.4894,0.3924,0.3632,0.0398,0.2804,0.2942,0.3108,0.3997,0.2255,0.2392,0.3796,0.2715,0.2938,0.3179,0.0034,0.2457,0.2615
HE671108,130000,80000,180000,130037,14402,0.4608,0.5411,0.4611,0.4838,0.4958,0.4417,0.304,0.0222,0.2258,0.2329,0.2921,0.3557,0.2288,0.2332,0.3605,0.2203,0.2409,0.3139,0.0064,0.233,0.2432
HE671108,150000,100000,200000,149999,15534,0.4676,0.544,0.4465,0.4549,0.4617,0.4246,0.3301,0.0236,0.2073,0.2194,0.2893,0.3735,0.2453,0.2586,0.395,0.1955,0.2141,0.3054,-0.0056,0.2306,0.2211
HE671108,170000,120000,220000,170000,16066,0.4478,0.5466,0.4233,0.4556,0.4603,0.4165,0.3428,0.0187,0.2203,0.2374,0.3066,0.3936,0.2417,0.2569,0.4027,0.2396,0.2278,0.3267,0.0078,0.2355,0.2196
HE671108,190000,140000,240000,190041,17861,0.3569,0.4882,0.3255,0.3962,0.3928,0.3654,0.3151,0.032,0.2028,0.2108,0.2908,0.3457,0.2065,0.2082,0.3839,0.2026,0.1847,0.3062,0.0073,0.2244,0.2155
HE671108,210000,160000,260000,209999,19501,0.3221,0.4614,0.3112,0.3588,0.3505,0.3441,0.3202,0.0313,0.192,0.2022,0.2573,0.3413,0.1997,0.2053,0.3469,0.1909,0.1878,0.283,0.017,0.1644,0.1526
HE671108,230000,180000,280000,230004,20881,0.275,0.4299,0.2582,0.3279,0.3117,0.3033,0.3176,0.0615,0.2055,0.203,0.2517,0.3496,0.1969,0.2011,0.3341,0.2127,0.1891,0.2666,0.0111,0.1388,0.1263
HE671108,250000,200000,300000,242457,17382,0.2722,0.4225,0.2664,0.3446,0.3255,0.2988,0.302,0.0636,0.2124,0.2034,0.2494,0.3379,0.1924,0.1802,0.3036,0.2301,0.1974,0.2655,0.0208,0.1295,0.1287
HE671108,270000,220000,320000,252457,13195,0.266,0.3993,0.2683,0.3093,0.293,0.2777,0.2967,0.0693,0.2021,0.1907,0.2464,0.3248,0.1939,0.1843,0.306,0.1941,0.1753,0.2513,0.0118,0.1223,0.1357
HE671108,290000,240000,340000,262455,8787,0.2793,0.3768,0.2905,0.3115,0.2854,0.2738,0.2782,0.0821,0.2082,0.1954,0.2574,0.2933,0.1656,0.158,0.2695,0.2073,0.1853,0.258,0.0149,0.1216,0.1222
HE671108,310000,260000,360000,272456,5022,0.2467,0.342,NA,0.32,0.2736,0.2855,NA,NA,0.2392,0.2112,0.2315,NA,0.1759,0.1552,0.2246,NA,NA,NA,-0.0039,0.0739,0.0768
HE671108,330000,280000,380000,282455,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HE671106,50000,0,100000,50020,17145,0.2639,0.3692,0.253,0.3038,0.3087,0.3149,0.265,0.0418,0.1993,0.216,0.2944,0.303,0.1513,0.155,0.3462,0.1885,0.1931,0.3189,0.0066,0.2271,0.231
